cellular root,domain,clade,kingdom,subkingdom,phylum,subphylum,class,no rank,order,family,genus,species,input_species,names_match,subclass,suborder,subfamily,species group,tribe,infraclass,cohort,infraorder,superfamily
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Steccherinaceae,Antrodiella,Antrodiella citrinella,Antrodiella citrinella FBCC 969 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Radulomycetaceae,Aphanobasidium,Aphanobasidium pseudotsugae,Aphanobasidium pseudotsugae OMC1630 v1.0,Yes,Agaricomycetidae,Pleurotineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Auriculariales,Aporpiaceae,Elmerina,Elmerina caryae,Aporpium caryae L-13461,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria borealis,Armillaria borealis FPL87.14 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria cepistipes,Armillaria cepistipes B5,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Desarmillaria,Desarmillaria ectypa,Armillaria ectypa FPL83.16 v1.0,No,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria fumosa,Armillaria fumosa CBS 122221 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria gallica,Armillaria gallica 21-2 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria luteobubalina,Armillaria luteobubalina HWK02 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria mellea,Armillaria mellea DSM 3731,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria mellea,Armillaria mellea ELDO17 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria nabsnona,Armillaria nabsnona CMW6904 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria novae-zelandiae,Armillaria novae-zelandiae 2840 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria ostoyae,Armillaria ostoyae C18/9,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Armillaria,Armillaria solidipes,Armillaria solidipes 28-4 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Physalacriaceae,Desarmillaria,Desarmillaria tabescens,Armillaria tabescens CCBAS 213 v1.0,No,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Polyporaceae,Trametes,Trametes elegans,Artolenzites elegans CIRM-BRFM 1122 v1.0,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Polyporaceae,Trametes,Trametes elegans,Artolenzites elegans CIRM-BRFM 1663 v1.0,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Russulales,Auriscalpiaceae,Artomyces,Artomyces pyxidatus,Artomyces pyxidatus HHB10654 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,sordariomyceta,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetes incertae sedis,,,,Rhizophila,Atractiellales rhizophila PMI 95 v2.0,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Auriculariales,Auriculariaceae,Auricularia,Auricularia subglabra,Auricularia subglabra v2.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum amplum,Auriculariopsis ampla NL-1724 v1.0,No,Agaricomycetidae,Schizophyllineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Russulales,Auriscalpiaceae,Auriscalpium,Auriscalpium vulgare,Auriscalpium vulgare FP105234-Sp v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Wallemiomycotina,Geminibasidiomycetes,,Geminibasidiales,Geminibasidiaceae,Basidioascus,Basidioascus undulatus,Basidioascus undulatus,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Phanerochaetaceae,Bjerkandera,Bjerkandera adusta,Bjerkandera adusta v1.0,Yes,,,,,,,,,
